sim_time,gid,Lmax_1s,Lmax_w
6:38:40,6650,65.1,75.1
6:38:40,4942,65.7,75.7
6:38:40,4543,65.3,75.3
6:38:40,4548,65.3,75.3
6:38:40,5844,65.7,75.7
6:38:40,5948,66,76
6:38:50,6554,63.6,73.6
6:38:50,4746,65.4,75.4
6:38:50,4652,66,76
6:38:50,6241,66,76
6:38:50,5959,66,76
6:38:50,6147,59.1,69.1
6:38:50,5841,59.7,69.7
6:38:50,5941,59.6,69.6
6:38:50,5641,65.5,75.5
6:38:50,5552,59.8,69.8
6:38:50,5645,59.6,69.6
6:38:50,4654,66,76
6:38:50,4345,59.9,69.9
6:38:50,4551,59,69
6:38:50,5550,63.6,73.6
6:38:50,5043,62.5,72.5
6:38:50,4252,59.3,69.3
6:38:50,6447,59.1,69.1
6:38:50,4347,59.4,69.4
6:38:50,5156,63.1,73.1
6:38:50,6043,60.1,70.1
6:38:50,6345,59.5,69.5
6:38:50,6650,62.5,72.5
6:38:50,4942,65.5,75.5
6:38:50,4542,65.1,75.1
6:38:50,4548,65.2,75.2
6:38:50,5844,65.8,75.8
6:38:50,5948,65.8,75.8
6:38:50,3852,66,76
6:38:50,5042,65.9,75.9
6:39:00,6554,65.2,75.2
6:39:00,4746,65.2,75.2
6:39:00,4652,66,76
6:39:00,6340,65.9,75.9
6:39:00,5959,66,76
6:39:00,6147,59.1,69.1
6:39:00,5841,60.1,70.1
6:39:00,5941,59.7,69.7
6:39:00,5541,61.5,71.5
6:39:00,5452,60.2,70.2
6:39:00,4745,65.4,75.4
6:39:00,5645,59.8,69.8
6:39:00,4755,66,76
6:39:00,4446,59.6,69.6
6:39:00,4451,59,69
6:39:00,4747,59.4,69.4
6:39:00,5550,62.1,72.1
6:39:00,5143,61.3,71.3
6:39:00,4252,59.4,69.4
6:39:00,6347,59.1,69.1
6:39:00,4448,59.5,69.5
6:39:00,5155,61.3,71.3
6:39:00,6043,59.9,69.9
6:39:00,6346,59.5,69.5
6:39:00,6650,59.1,69.1
